a_over_M,ell,overtone,our_leaver_real,our_leaver_imag,public_chebyshev_real,public_chebyshev_imag,relative_difference
0.5,2,0,0.3658681292784279,-0.088309919158722,0.365868129278502,-0.0883099191587139,1.9806772351782195e-13
0.5,2,1,0.33825647003918813,-0.27208954767335297,0.3382564700259581,-0.272089547650159,6.150980056593207e-11
0.5,2,2,0.2914164333513081,-0.4757457571931693,0.2914164335110207,-0.4757457571414896,3.0088605660744735e-10
0.5,3,0,0.5871635814093505,-0.09202711928243466,0.5871635814093505,-0.0920271192824352,9.106594969534397e-16
0.5,3,1,0.5699908817345729,-0.2793391464837658,0.5699908817345779,-0.279339146483654,1.7630454401319425e-13
0.5,3,2,0.5383310951514654,-0.47607379935028044,0.5383310951513541,-0.4760737993565929,8.785221075200542e-12
0.5,4,0,0.7927343325645653,-0.09349025983983186,0.7927343325645654,-0.0934902598398318,1.6401675546820987e-16
0.5,4,1,0.7799096780950937,-0.28235468611444486,0.7799096780950966,-0.2823546861144428,4.2711861439896686e-15
0.5,4,2,0.7554513717358383,-0.4767529239114273,0.7554513717359096,-0.476752923911427,7.979001002086402e-14
1.0,2,0,0.3454879561713115,-0.08647005305062835,0.3454879561712923,-0.0864700530506826,1.615861891827871e-13
1.0,2,1,0.3161639975111328,-0.2669182361628639,0.3161639973620039,-0.2669182361134836,3.7966041477591713e-10
1.0,2,2,0.2661706203216734,-0.46853049963797927,0.2661627874064304,-0.4685266688887356,1.618161698662632e-05
1.0,3,0,0.5550880799210591,-0.09010821749642933,0.5550880799210596,-0.0901082174964293,7.912374645380984e-16
1.0,3,1,0.5369590372055771,-0.27376487310014164,0.5369590372055655,-0.2737648731001184,4.3165882310821834e-14
1.0,3,2,0.5035009350372502,-0.46744722244331827,0.5035009350385207,-0.4674472224295509,2.012390087698818e-11
1.0,4,0,0.7497692937568452,-0.09156933627884145,0.7497692937568455,-0.0915693362788414,4.470318346223357e-16
1.0,4,1,0.7362390717936736,-0.2767022790309613,0.7362390717936736,-0.2767022790309607,7.76360992038638e-16
1.0,4,2,0.7104175020792383,-0.46772044154739545,0.710417502079229,-0.4677204415474042,1.4956731587877324e-14
