ell,a_over_M,raw_positive_imag_counts_N32_N48_N64,positive_imaginary_floor,modulus_ceiling,three_resolution_matching_tolerance,residual_refinement_radius,backward_error_acceptance_threshold,persistent_before_residual,accepted_growing_mode_survivors,accepted_survivor_frequencies
2,0.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
2,0.2,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
2,0.5,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
2,1.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
3,0.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
3,0.2,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
3,0.5,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
3,1.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
4,0.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
4,0.2,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
4,0.5,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
4,1.0,0;0;0,1e-08,5.0,0.0001,0.02,1e-08,0,0,
