ell,a_over_M,minimum_sampled_V_M2,minimum_bracket_sampled_M2
2,0.0,7.500000619052782e-11,1.4996250674895015e-08
2,0.2,7.450362689450637e-11,1.48477766291001e-08
2,0.5,7.201418071024416e-11,1.4114139349047825e-08
2,1.0,6.444272442079825e-11,1.1997063856605305e-08
3,0.0,2.2500001855658346e-10,2.999325112483502e-08
3,0.2,2.2375902085111008e-10,2.969629192607041e-08
3,0.5,2.175354156712979e-10,2.822896330193254e-08
3,1.0,1.9860681413132201e-10,2.3994664216557307e-08
4,0.0,4.250000350446577e-10,4.998925172475503e-08
4,0.2,4.2276621279324836e-10,4.9494312322030816e-08
4,0.5,4.115637289527029e-10,4.704872857244549e-08
4,1.0,3.77492267078687e-10,3.999146469649331e-08
