predictor,pearson_r_with_q10_gain,pearson_r_with_robust_class,pearson_r_with_reliable_increase_class,sample_count
ell,-0.4953641449333431,0.30429030972509236,0.44038550605054416,14
overtone,0.6373643828914473,-0.6196773353931868,-0.482669345380144,14
overtone_load,0.9143637613067879,-0.5806580138777678,-0.8315361179032611,14
branch_ratio,0.9054353554357961,-0.6718675653693251,-0.7898534907371904,14
real_frequency_softening,-0.055216184828528574,0.25597947185601894,0.43800325957793307,14
damping_shift,0.23960362284242176,-0.3599284984973612,-0.5824277845940297,14
quality_factor_shift,-0.29368547993321603,-0.03282149846010013,-0.11856580903844612,14
quality_factor_baseline,-0.7802899516277586,0.5949312951207218,0.4449638386353596,14
potential_height_softening,-0.4913267249222779,0.4608856365825158,0.33838882924964314,14
potential_width_growth,-0.5138180467364498,0.4400114373341107,0.3851528042613543,14
potential_curvature_softening,-0.49382398382736203,0.45741843412984895,0.3448019842939875,14
log10_condition_endpoint,0.9302229652342975,-0.7438686182330039,-0.7519332674117426,14
log10_condition_growth,0.9607034028179509,-0.7089385428198149,-0.8094104168382381,14
nearest_eigenvalue_distance_endpoint,-0.750041855785669,0.4153559311865819,0.8880002504977803,14
nearest_eigenvalue_distance_growth,-0.2793892822725881,-0.04038251198079593,-0.03834591817126544,14
