sensitivity_rank,perturbation_type,ell,overtone,mode,endpoint_a_over_M,endpoint_real,endpoint_imag,endpoint_fractional_real_shift,endpoint_fractional_damping_shift,endpoint_fractional_quality_shift,endpoint_fractional_complex_shift,real_trend,damping_trend,max_spectral_leaver_relative_difference,max_continued_fraction_abs
1,scalar,4,0,fundamental,1.0,0.804383065395777,-0.09384796904803688,-0.07266709672864015,-0.026389445376699253,-0.04753199431968584,0.07228132043521075,decreasing,decreasing,2.956749578453687e-13,1.3732700395566711e-15
2,scalar,3,0,fundamental,1.0,0.626234254156411,-0.09396617452988719,-0.07274864512499217,-0.02625350235656464,-0.04774871373704597,0.07211288332475126,decreasing,decreasing,3.637513774822398e-13,1.3743915342634358e-15
3,scalar,2,0,fundamental,1.0,0.44836240900203495,-0.09424817915891738,-0.07294926129717762,-0.02594696753846702,-0.04825434775345947,0.07171265854384898,decreasing,decreasing,7.913528165069764e-13,7.151963422724292e-14
4,scalar,4,1,first_overtone,1.0,0.791846226619132,-0.2833970219921965,-0.07473849961620531,-0.025711987106885544,-0.05032034866541897,0.07124496929726452,decreasing,decreasing,7.533114094433817e-11,4.636427468134552e-15
5,scalar,3,1,first_overtone,1.0,0.6103582494443323,-0.2849377890899865,-0.07615471329895918,-0.02513643002302083,-0.05233376735694727,0.07038225367151735,decreasing,decreasing,1.9561506217434798e-10,7.18359392964919e-14
6,scalar,4,2,second_overtone,1.0,0.7679518157875469,-0.4783818813486051,-0.07885442863897198,-0.02435734632409914,-0.0558576258526068,0.06908279439488854,decreasing,decreasing,1.2251237735190586e-08,3.4253259211123796e-13
7,gravitational,4,0,fundamental,1.0,0.7536036477524473,-0.0917108715134415,-0.06868044342618095,-0.026051256231354576,-0.043769435986820815,0.06828650733749718,decreasing,decreasing,3.15640322711544e-13,1.0778315928076987e-15
8,scalar,2,1,first_overtone,1.0,0.426971489573508,-0.2885729134534649,-0.0795063995051864,-0.023785283802846977,-0.05707874996947515,0.06825621668902596,decreasing,decreasing,1.8142844205909435e-09,2.5885773982057002e-12
9,gravitational,4,1,first_overtone,1.0,0.7401687814267103,-0.2771173383159644,-0.07087687134802835,-0.02538212883523465,-0.04667956935616518,0.06729549539751055,decreasing,decreasing,7.499812011177624e-11,1.4737139070004728e-14
10,scalar,3,2,second_overtone,1.0,0.5811473869266748,-0.4846289433013186,-0.0828224168434844,-0.022941730407496773,-0.061286709605315244,0.06673229945501226,decreasing,decreasing,3.822904680427064e-08,6.933117743191362e-12
11,gravitational,4,2,second_overtone,1.0,0.7145348861645203,-0.46837785116345143,-0.07528656498637913,-0.024026104483010503,-0.05252236841459273,0.0651996467639111,decreasing,decreasing,1.3650674602192679e-08,1.289433392810614e-12
12,gravitational,3,0,fundamental,1.0,0.5600878597093549,-0.09031850966779056,-0.06565329779689262,-0.025722328769310028,-0.040985203917423885,0.06500100298539983,decreasing,decreasing,4.3973350435464007e-13,4.055354606087054e-15
13,gravitational,3,1,first_overtone,1.0,0.5422254865004785,-0.2743696245057981,-0.06937054221189565,-0.02463041377931513,-0.04586992363165373,0.06338203712290952,decreasing,decreasing,2.479810897250013e-10,2.6056837414734036e-13
14,scalar,2,2,second_overtone,1.0,0.39111629784924434,-0.49844718314430964,-0.09157659042446342,-0.019882119668325673,-0.07314882443719539,0.061085993231471986,decreasing,decreasing,9.180839390628178e-07,7.675247241834933e-09
15,gravitational,3,2,second_overtone,1.0,0.5092902808609463,-0.468354798022229,-0.0768457136631519,-0.022413098346949187,-0.05568058985258485,0.05985337095774787,decreasing,decreasing,4.2601299916018664e-08,7.335363399919548e-11
16,gravitational,2,0,fundamental,1.0,0.3527084245392978,-0.08662114746710242,-0.05610074499327469,-0.026316403790785,-0.030589342696587703,0.054914674594903026,decreasing,decreasing,1.1057866687243159e-11,7.4998189052841e-13
17,gravitational,2,1,first_overtone,1.0,0.32497068814675467,-0.26727605996081827,-0.06270441067084373,-0.024236782771866847,-0.03942311743237518,0.05144503348867494,decreasing,decreasing,3.150476342345582e-08,5.412220289242306e-10
18,gravitational,2,2,second_overtone,1.0,0.27831330309908614,-0.46863999959473923,-0.07553526181088695,-0.020149377793600237,-0.05652482405182359,0.0437023366586142,decreasing,decreasing,1.0968198450625877e-05,2.8359557477772723e-05
