a_over_M,N,mode,omega_real,omega_imag,relative_change_from_previous_N,absolute_error_from_N96,residual_norm,matrix_dimension,sparsity,polynomial_backward_error_raw,branch_status,selection_score,eigenvector_overlap
0.0,16,fundamental,0.4836438924274065,-0.09675878999169116,,2.4626072415798258e-08,9.681237060917291e-19,16,0.0,1.5383735494299853e-19,tracked,0.005909686118501937,
0.0,16,first_overtone,0.46385479091430576,-0.2956025836838266,,1.2820977374736887e-05,5.457590515064909e-19,16,0.0,8.44046954943008e-20,tracked,0.0033378812164812787,
0.0,24,fundamental,0.48364387218444604,-0.09675877604571895,4.9838744099650447e-08,8.519201730310147e-11,3.0486659213971447e-19,24,0.0,2.1999549892583347e-20,tracked,0.0012257817249779913,0.999999999999987
0.0,24,first_overtone,0.46385063081398814,-0.29560394046787497,7.955377562516927e-06,1.1958589601000946e-05,2.4872663741889426e-19,24,0.0,1.7641587600235288e-20,tracked,0.0010115353390720832,0.999999999881113
0.0,32,fundamental,0.48364387221053917,-0.09675877597793836,1.4725367083364906e-10,2.7237548549098308e-11,5.471260831399778e-19,32,0.0,2.2225293319943267e-20,tracked,0.0012809506812673762,1.0000000000000002
0.0,32,first_overtone,0.46385057891627257,-0.2956039379805023,9.446169433717649e-08,1.1939202993374163e-05,4.271250894657042e-19,32,0.0,1.7134167480856164e-20,leaver_validated_reference_grid,0.0010001369694597323,0.9999999999999849
0.0,48,fundamental,0.483643872210601,-0.0967587759783489,8.417289189501243e-13,2.7546982487749004e-11,2.9097464229607473e-19,48,0.0,5.211385600064425e-21,tracked,0.003894154018578987,1.0000000000000002
0.0,48,first_overtone,0.4638505786004547,-0.2956039368116171,2.201310067092564e-09,1.1937995041185252e-05,7.472088700013758e-20,48,0.0,1.3274614847044825e-21,exploratory_high_n_overtone,0.0010000031918861365,1.0000000000000002
0.0,64,fundamental,0.48364387220903693,-0.09675877597674665,4.5396769547177775e-12,2.5320278460452652e-11,2.4221984657869265e-19,64,0.0,2.419994292457575e-21,tracked,0.002620009541331623,1.0
0.0,64,first_overtone,0.46385060361144476,-0.29560385081459994,1.6282629149871897e-07,1.186498320011139e-05,9.244998667505578e-20,64,0.0,9.181553220751176e-22,exploratory_high_n_overtone,0.0010002360981273607,0.9999999999999557
0.0,96,fundamental,0.48364387218947097,-0.09675877596067525,5.133587120668722e-11,0.0,1.0355691969246011e-19,96,0.0,4.541644276142141e-22,publication_high_n,0.0017421858947005997,1.0000000000000002
0.0,96,first_overtone,0.4638466822563364,-0.29559265256471645,2.157130554481423e-05,0.0,5.944080045092177e-20,96,0.0,2.596663428864917e-22,exploratory_high_n_overtone,0.0021052007581285237,0.9999999992230746
0.2,16,fundamental,0.4820337080202864,-0.09665387426751866,,2.4194932342145927e-08,8.367251909741881e-20,16,0.0,1.3338540355664561e-20,tracked,0.001002799397613732,
0.2,16,first_overtone,0.46216975558299794,-0.2953098463806632,,2.016534593380649e-05,6.559663250095891e-19,16,0.0,1.0177033997428999e-19,tracked,0.004737031130353308,
0.2,24,fundamental,0.4820336878951522,-0.09665386078908002,4.926825133784683e-08,7.240752201422828e-11,9.005007294854755e-19,24,0.0,6.517328268959532e-20,tracked,0.003024009975689794,0.9999999999999872
0.2,24,first_overtone,0.4621656388010395,-0.2953112990186832,7.959650178872937e-06,1.9784457175919574e-05,2.9779068540822306e-19,24,0.0,2.1183414605450242e-20,tracked,0.0010115415336808158,0.999999999883072
0.2,32,fundamental,0.48203368791930384,-0.09665386072209685,1.448334975617837e-10,4.40770043244854e-11,1.8636199761124484e-19,32,0.0,7.59182010822789e-21,tracked,0.001000000210003128,1.0000000000000002
0.2,32,first_overtone,0.46216558690205634,-0.29531129832555797,9.463557911830691e-08,1.9803517958675174e-05,3.122867245744668e-19,32,0.0,1.2562651431594026e-20,leaver_validated_reference_grid,0.001000137221591882,0.9999999999999847
0.2,48,fundamental,0.48203368791956047,-0.09665386072271115,1.3541728811824258e-12,4.350843173670477e-11,1.46316130658485e-19,48,0.0,2.627657831892607e-21,tracked,0.0015055023003350402,1.0000000000000002
0.2,48,first_overtone,0.46216558410927894,-0.29531129661755395,5.968856713168019e-09,1.980610822319019e-05,9.718758371557648e-20,48,0.0,1.7312656477965276e-21,exploratory_high_n_overtone,0.0010000086548319447,1.0
0.2,64,fundamental,0.4820336879226819,-0.0966538607234787,6.5383368280659736e-12,4.0544550910367245e-11,2.254332677079602e-19,64,0.0,2.2582781821480186e-21,tracked,0.0021713888665063513,0.9999999999999999
0.2,64,first_overtone,0.4621655590046142,-0.2953114076171413,2.0749666219053994e-07,1.9711419514227164e-05,1.0381985104896306e-19,64,0.0,1.0338092887351597e-21,exploratory_high_n_overtone,0.0010003008701753356,0.9999999999999292
0.2,96,fundamental,0.48203368795486956,-0.09665386074813263,8.24699186378085e-11,0.0,8.244484193809914e-21,96,0.0,3.6251769476317545e-23,publication_high_n,0.0010000001194600111,1.0000000000000002
0.2,96,first_overtone,0.46217263537194886,-0.295329805037738,3.593972713071003e-05,0.0,3.323056894822013e-20,96,0.0,1.4554491724180013e-22,exploratory_high_n_overtone,0.0030223353057457665,0.9999999978672636
0.5,16,fundamental,0.47388694582243346,-0.09610919396807033,,2.2471704352195002e-08,1.6489457185141542e-18,16,0.0,2.6723930757375974e-19,tracked,0.0015662670374784287,
0.5,16,first_overtone,0.453646661609584,-0.29378825313457063,,7.3116117548999425e-06,1.0561392689481468e-18,16,0.0,1.665425656079936e-19,tracked,0.01679695927174486,
0.5,24,fundamental,0.4738869263556322,-0.09610918276724292,4.644792250410596e-08,6.363747410484831e-11,1.9381632897001248e-19,24,0.0,1.4242077442614383e-20,tracked,0.0010000673494863573,0.9999999999999889
0.5,24,first_overtone,0.45364279656408063,-0.2937901721609516,7.984237191237234e-06,6.167072177972088e-06,2.4033907359353774e-19,24,0.0,1.7355826805290218e-20,tracked,0.0010115771815854787,0.9999999998923933
0.5,32,fundamental,0.4738869263709161,-0.09610918270333074,1.3590394894955782e-10,6.221490750780936e-12,1.6911829419321447e-19,32,0.0,6.99049979445164e-21,tracked,0.0010000001970547352,1.0000000000000002
0.5,32,first_overtone,0.4536427457066632,-0.29379018071495056,9.54207832778649e-08,6.185151691465291e-06,3.5977873275305475e-19,32,0.0,1.4684142855434683e-20,leaver_validated_reference_grid,0.001000138360138064,0.9999999999999855
0.5,48,fundamental,0.47388692637037416,-0.09610918270527134,4.166932208185643e-12,5.850058639215978e-12,1.2531691241365835e-19,48,0.0,2.2822491085030864e-21,tracked,0.001284878317406299,1.0
0.5,48,first_overtone,0.4536427311344793,-0.2937901774023661,2.7650084487443694e-08,6.195372219604882e-06,9.753212526353217e-20,48,0.0,1.7617702954586975e-21,exploratory_high_n_overtone,0.0010000400926126812,0.9999999999999988
0.5,64,fundamental,0.473886926370446,-0.09610918270340535,3.861926730562044e-12,6.5692331107359e-12,7.646400716863114e-20,64,0.0,7.765570342745186e-22,tracked,0.0013234974042800592,1.0000000000000002
0.5,64,first_overtone,0.4536427499524996,-0.2937901528632986,5.721690147247343e-08,6.207083804149203e-06,5.777420283829025e-20,64,0.0,5.832168573851251e-22,exploratory_high_n_overtone,0.001000082964491575,0.999999999999995
0.5,96,fundamental,0.4738869263759794,-0.096109182706946,1.3585856983985432e-11,0.0,5.098060049711325e-20,96,0.0,2.2720132789413015e-22,publication_high_n,0.002022487959491949,1.0000000000000002
0.5,96,first_overtone,0.45364586568914556,-0.29379552129645037,1.1484671057065708e-05,0.0,2.5206874904935318e-20,96,0.0,1.1189352644312241e-22,exploratory_high_n_overtone,0.001016652845022817,0.9999999997942007
1.0,16,fundamental,0.44836242586060293,-0.09424818425109038,,1.752262420301111e-08,9.622586755027777e-19,16,0.0,1.647177849751202e-19,tracked,0.005435896761649239,
1.0,16,first_overtone,0.4269742792113136,-0.2885697521693848,,7.273890618855321e-05,3.968126650509209e-19,16,0.0,6.60408960163878e-20,tracked,0.05252694989528066,
1.0,24,fundamental,0.448362409008405,-0.09424817920890874,3.83933586888209e-08,1.0024873647433713e-10,9.199406031687914e-20,24,0.0,7.110688243839434e-21,tracked,0.0010000556703619098,0.9999999999999923
1.0,24,first_overtone,0.42697152681997463,-0.28857288010821247,8.084874730360181e-06,7.348681949883646e-05,4.519634956635316e-19,24,0.0,3.431608575275269e-20,tracked,0.0010117230977885667,0.9999999999159093
1.0,32,fundamental,0.4483624090017799,-0.0942481791587782,1.1036821272411025e-10,9.2805048351053e-11,2.794290444993104e-19,32,0.0,1.212606820278114e-20,tracked,0.002549035919636756,1.0000000000000002
1.0,32,first_overtone,0.4269714902744878,-0.28857291401866697,9.674071327181893e-08,7.350202486893085e-05,1.0962146899825735e-19,32,0.0,4.695697101283823e-21,leaver_validated_reference_grid,0.0010001402740293186,0.999999999999988
1.0,48,fundamental,0.44836240900104274,-0.09424817916188052,6.959797367922261e-12,9.362986528129684e-11,4.549298753476956e-20,48,0.0,8.682424640421758e-22,tracked,0.0025775695902843536,1.0000000000000002
