case,a_over_M,mode,overtone,spectral_initial_guess_N,taylor_order,continued_fraction_depth,omega_real,omega_imag,continued_fraction_abs,final_depth_omega_real,final_depth_omega_imag,absolute_difference_from_final_depth,relative_difference_from_final_depth,root_method,root_tolerance,root_max_function_evaluations,arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,60,0.483643872210813,-0.09675877597803922,4.577566798522237e-16,0.48364387221071303,-0.09675877597828782,2.67943098335468e-13,5.432441198583149e-13,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,90,0.48364387221071276,-0.09675877597828741,7.850462293418876e-17,0.48364387221071303,-0.09675877597828782,4.888843483876897e-16,9.911938363117025e-16,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,120,0.48364387221071303,-0.09675877597828782,4.388541835720876e-16,0.48364387221071303,-0.09675877597828782,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,180,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,0.48364387221071303,-0.09675877597828782,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,240,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,0.48364387221071303,-0.09675877597828782,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
schwarzschild_scalar_l2_n0,0.0,fundamental,0,32,96,320,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,0.48364387221071303,-0.09675877597828782,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,60,0.44836240900199775,-0.09424817915874523,2.830524433501838e-16,0.448362409002035,-0.09424817915891738,1.7613743886402677e-13,3.8444435621319684e-13,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,90,0.4483624090020339,-0.09424817915891814,3.925231146709438e-16,0.448362409002035,-0.09424817915891738,1.3472894910096234e-15,2.9406459202796146e-15,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,120,0.44836240900203495,-0.09424817915891777,4.557749486332122e-15,0.448362409002035,-0.09424817915891738,3.925231146709438e-16,8.56736064130937e-16,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,180,0.448362409002035,-0.09424817915891735,7.803661606550263e-15,0.448362409002035,-0.09424817915891738,2.7755575615628914e-17,6.058038806340583e-17,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,240,0.44836240900203495,-0.09424817915891738,4.065599728786519e-15,0.448362409002035,-0.09424817915891738,5.551115123125783e-17,1.2116077612681167e-16,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n0,1.0,fundamental,0,32,96,320,0.448362409002035,-0.09424817915891738,3.925231146709438e-15,0.448362409002035,-0.09424817915891738,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,60,0.42697148972509713,-0.2885729133068553,4.47545209131181e-16,0.42697148957430003,-0.288572913451572,2.0900402588289013e-10,4.0556251069727087e-10,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,90,0.4269714895743697,-0.2885729134526851,4.847302891456678e-16,0.42697148957430003,-0.288572913451572,1.115287591656572e-12,2.1641632686788382e-12,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,120,0.4269714895758179,-0.28857291344917396,5.9846002611696956e-12,0.42697148957430003,-0.288572913451572,2.838022604169948e-12,5.507049770456101e-12,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,180,0.4269714895744373,-0.2885729134529746,3.5357285494138007e-12,0.42697148957430003,-0.288572913451572,1.409302320005047e-12,2.7346850608178914e-12,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,240,0.426971489573508,-0.2885729134534649,2.5885773982057002e-12,0.42697148957430003,-0.288572913451572,2.0519506325554042e-12,3.981713973453894e-12,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
ks_a1_scalar_l2_n1,1.0,first_overtone,1,32,96,320,0.42697148957430003,-0.288572913451572,9.544798424959317e-13,0.42697148957430003,-0.288572913451572,0.0,0.0,scipy.optimize.root(method=hybr),1e-11,1000,IEEE-754 double-precision complex arithmetic
