case,perturbation_type,ell,overtone,a_over_M,taylor_order,continued_fraction_depth,omega_real,omega_imag,continued_fraction_abs,absolute_difference_from_order_128
scalar_l2_n0_a1,scalar,2,0,1.0,64,320,0.4483624090017799,-0.0942481791587782,2.481959818477001e-12,2.9014283269871347e-13
scalar_l2_n0_a1,scalar,2,0,1.0,80,320,0.4483624090020336,-0.09424817915893406,3.72411773952436e-14,1.5967273895878548e-14
scalar_l2_n0_a1,scalar,2,0,1.0,96,320,0.44836240900203383,-0.09424817915891562,7.335300320115775e-15,2.499581831544355e-15
scalar_l2_n0_a1,scalar,2,0,1.0,112,320,0.4483624090020341,-0.0942481791589181,2.1138016631127878e-16,0.0
scalar_l2_n0_a1,scalar,2,0,1.0,128,320,0.4483624090020341,-0.0942481791589181,8.777083671441753e-17,0.0
scalar_l2_n1_a1,scalar,2,1,1.0,64,320,0.42697148981253114,-0.288572914629365,5.545764595080848e-10,1.200700541055765e-09
scalar_l2_n1_a1,scalar,2,1,1.0,80,320,0.4269714895713615,-0.288572913452949,9.685773301524307e-12,4.318702659354327e-12
scalar_l2_n1_a1,scalar,2,1,1.0,96,320,0.4269714895713615,-0.288572913452949,7.855042877043024e-12,4.318702659354327e-12
scalar_l2_n1_a1,scalar,2,1,1.0,112,320,0.42697148957566283,-0.2885729134519395,3.9398338798307044e-13,3.3039230871373583e-13
scalar_l2_n1_a1,scalar,2,1,1.0,128,320,0.42697148957562614,-0.2885729134522678,8.430033055768679e-13,0.0
axial_l2_n0_a1,gravitational,2,0,1.0,64,320,0.34548795616901395,-0.0864700530527649,4.54940918535413e-11,3.085903322126416e-12
axial_l2_n0_a1,gravitational,2,0,1.0,80,320,0.34548795617138306,-0.0864700530508231,1.6406749684406368e-12,1.6735234905021814e-13
axial_l2_n0_a1,gravitational,2,0,1.0,96,320,0.3454879561712589,-0.08647005305073463,6.906965929694892e-14,6.126140329987797e-14
axial_l2_n0_a1,gravitational,2,0,1.0,112,320,0.34548795617129496,-0.08647005305068199,6.041605306373849e-15,3.3971112463036525e-15
axial_l2_n0_a1,gravitational,2,0,1.0,128,320,0.3454879561712917,-0.0864700530506829,3.477763656540197e-16,0.0
