perturbation_type,ell,overtone,mode,confidence_tier,a_over_M,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,spectral_leaver_relative_difference,continued_fraction_abs,polynomial_backward_error_raw,schwarzschild_literature_real,schwarzschild_literature_imag,literature_relative_error,literature_tolerance,spectral_leaver_validation_passed,literature_validation_passed,literature_source
scalar,2,0,fundamental,robust_quantitative,0.0,32,0.48364387221053917,-0.09675877597793836,0.48364387221071303,-0.09675877597828782,7.913528165069764e-13,4.742874840267547e-16,2.2225293319943267e-20,0.483643872211,-0.096758775978,8.240579509872721e-13,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,2,1,first overtone,validated_low_lying,0.0,32,0.46385057891627257,-0.2956039379805023,0.4638505790197655,-0.2956039369879625,1.8142844205909435e-09,5.4672143489065705e-16,1.7134167480856164e-20,0.46385057902,-0.295603936988,4.3172281385127694e-13,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,2,2,second overtone,exploratory_diagnostic,0.0,32,0.4305439582991861,-0.508558006731865,0.43054405437657595,-0.5085584021542734,6.106966736840458e-07,6.940448042097717e-15,1.636892739532586e-20,0.430544,-0.508558,6.090257752923147e-07,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,2,0,fundamental,robust_quantitative,0.2,32,0.48203368791930384,-0.09665386072209685,0.48203368791957835,-0.09665386072221566,6.084073632980392e-13,5.509324452557032e-16,7.59182010822789e-21,,,,,True,,
scalar,2,1,first overtone,validated_low_lying,0.2,32,0.46216558690205634,-0.29531129832555797,0.46216558699247906,-0.2953112973489303,1.7882961564609665e-09,2.3714374201337736e-16,1.2562651431594026e-20,,,,,True,,
scalar,2,2,second overtone,exploratory_diagnostic,0.2,32,0.428737555064118,-0.5081404098870094,0.42873768188892974,-0.5081408138380228,6.368257716229932e-07,5.551115123125783e-15,1.5469212578952878e-20,,,,,True,,
scalar,2,0,fundamental,robust_quantitative,0.5,32,0.4738869263709161,-0.09610918270333074,0.4738869263710777,-0.09610918270358437,6.219483207098473e-13,7.151963422724292e-14,6.99049979445164e-21,,,,,True,,
scalar,2,1,first overtone,validated_low_lying,0.5,32,0.4536427457066632,-0.29379018071495056,0.45364274584456094,-0.2937901797474656,1.8081830764410907e-09,7.92120068171973e-13,1.4684142855434683e-20,,,,,True,,
scalar,2,2,second overtone,exploratory_diagnostic,0.5,32,0.4196069505221198,-0.5059645618167956,0.41960733599435157,-0.5059650261373936,9.180839390628178e-07,1.4557951032840333e-10,7.462217966073428e-21,,,,,True,,
scalar,2,0,fundamental,robust_quantitative,1.0,32,0.4483624090017799,-0.0942481791587782,0.44836240900203495,-0.09424817915891738,6.341136312121044e-13,4.065599728786519e-15,1.212606820278114e-20,,,,,True,,
scalar,2,1,first overtone,validated_low_lying,1.0,32,0.4269714902744878,-0.28857291401866697,0.426971489573508,-0.2885729134534649,1.7472980192219998e-09,2.5885773982057002e-12,4.695697101283823e-21,,,,,True,,
