a_over_M,spectral_N,ell,overtone,grid_size,half_width,window_area,center_real,center_imag,leaver_real,leaver_imag,center_leaver_relative_difference,min_log10_relative_sigma,median_log10_relative_sigma,log10_relative_sigma_q05,log10_relative_sigma_q10,log10_relative_sigma_q25,log10_relative_sigma_q50,area_log10_relative_sigma_le_m10_0,area_log10_relative_sigma_le_m9_5,area_log10_relative_sigma_le_m9_0,area_fraction_log10_relative_sigma_le_m10_0,area_fraction_log10_relative_sigma_le_m9_5,area_fraction_log10_relative_sigma_le_m9_0,boundary_touch_log10_relative_sigma_le_m10_0,boundary_touch_log10_relative_sigma_le_m9_5,boundary_touch_log10_relative_sigma_le_m9_0
0.0,32,2,0,41,0.025,0.0025000000000000005,0.48364387221053917,-0.09675877597793836,0.48364387221071303,-0.09675877597828782,7.913528165065929e-13,-19.60358444741513,-7.539200497580572,-7.95218151093415,-7.8305808795215635,-7.7129147065079104,-7.539200497580572,1.4872099940511603e-06,1.4872099940511603e-06,1.4872099940511603e-06,0.000594883997620464,0.000594883997620464,0.000594883997620464,False,False,False
0.2,32,2,0,41,0.025,0.0025000000000000005,0.48203368791930384,-0.09665386072209685,0.48203368791957835,-0.09665386072221566,6.084073632976772e-13,-19.532874366004343,-7.543758736438012,-7.956304309990648,-7.835335500513208,-7.717921106305119,-7.543758736438012,1.4872099940511603e-06,1.4872099940511603e-06,1.4872099940511603e-06,0.000594883997620464,0.000594883997620464,0.000594883997620464,False,False,False
0.5,32,2,0,41,0.025,0.0025000000000000005,0.4738869263709161,-0.09610918270333074,0.4738869263710777,-0.09610918270358437,6.219483207095787e-13,-20.10648673432932,-7.5653944606842956,-7.976976924885606,-7.857301717176757,-7.743253892205349,-7.5653944606842956,1.4872099940511603e-06,1.4872099940511603e-06,1.4872099940511603e-06,0.000594883997620464,0.000594883997620464,0.000594883997620464,False,False,False
1.0,32,2,0,41,0.025,0.0025000000000000005,0.4483624090017799,-0.0942481791587782,0.44836240900203495,-0.09424817915891738,6.341136312117193e-13,-19.868739685088652,-7.63449189754749,-8.048745013682437,-7.928065591556247,-7.822595477861364,-7.63449189754749,1.4872099940511603e-06,1.4872099940511603e-06,1.4872099940511603e-06,0.000594883997620464,0.000594883997620464,0.000594883997620464,False,False,False
0.0,48,2,0,41,0.025,0.0025000000000000005,0.483643872210601,-0.0967587759783489,0.48364387221071303,-0.09675877597828782,2.5868296025931555e-13,-20.251230385421994,-8.682568675707083,-9.08709517169576,-8.9806021988645,-8.904465461702847,-8.682568675707083,1.4872099940511603e-06,1.4872099940511602e-05,0.00022010707911957172,0.000594883997620464,0.00594883997620464,0.08804283164782867,False,False,False
0.2,48,2,0,41,0.025,0.0025000000000000005,0.48203368791956047,-0.09665386072271115,0.48203368791957835,-0.09665386072221566,1.0085155335522378e-12,-20.548674568432645,-8.687644507783427,-9.092814159378014,-8.986414554926663,-8.909957328310998,-8.687644507783427,1.4872099940511603e-06,1.4872099940511602e-05,0.00022308149910767405,0.000594883997620464,0.00594883997620464,0.08923259964306961,False,False,False
0.5,48,2,0,41,0.025,0.0025000000000000005,0.47388692637037416,-0.09610918270527134,0.4738869263710777,-0.09610918270358437,3.780077707607444e-12,-20.610182290653075,-8.715279306687782,-9.121965504826228,-9.015580728382082,-8.941365817456939,-8.715279306687782,1.4872099940511603e-06,1.7846519928613924e-05,0.00029000594883997623,0.000594883997620464,0.007138607971445568,0.11600237953599048,False,False,False
1.0,48,2,0,41,0.025,0.0025000000000000005,0.44836240900104274,-0.09424817916188052,0.44836240900203495,-0.09424817915891738,6.8204200141531464e-12,-21.03084500600457,-8.805758501898989,-9.213347964921477,-9.111080103646918,-9.042031231363316,-8.805758501898989,1.4872099940511603e-06,2.6769779892920884e-05,0.0007674003569303988,0.000594883997620464,0.010707911957168352,0.30696014277215944,False,False,True
0.0,64,2,0,41,0.025,0.0025000000000000005,0.48364387220903693,-0.09675877597674665,0.48364387221071303,-0.09675877597828782,4.616438898752694e-12,-20.592771329837714,-9.572275851596299,-9.972493012671404,-9.898666258618611,-9.821844783908741,-9.572275851596299,0.00010707911957168354,0.0013860797144556814,0.0021073765615704943,0.04283164782867341,0.5544318857822724,0.8429506246281976,False,True,True
0.2,64,2,0,41,0.025,0.0025000000000000005,0.4820336879226819,-0.0966538607234787,0.48203368791957835,-0.09665386072221566,6.815592307902282e-12,-20.660997693224502,-9.57814597968327,-9.978820397112875,-9.906262423842067,-9.82818625056648,-9.57814597968327,0.0001085663295657347,0.0013935157644259372,0.0021118381915526474,0.04342653182629387,0.5574063057703748,0.8447352766210589,False,True,True
0.5,64,2,0,41,0.025,0.0025000000000000005,0.473886926370446,-0.09610918270340535,0.4738869263710777,-0.09610918270358437,1.3579045896354717e-12,-21.08667866468594,-9.606613930607713,-10.01105774415162,-9.942762765073761,-9.863427617924556,-9.606613930607713,0.00013533610945865558,0.001447055324211779,0.0021445568114217732,0.05413444378346222,0.5788221296847115,0.8578227245687091,False,True,True
1.0,64,2,0,41,0.025,0.0025000000000000005,0.4483624090013222,-0.09424817915922012,0.44836240900203495,-0.09424817915891738,1.6902210066570078e-12,-20.772614196071494,-9.70416728677328,-10.111689879977792,-10.059983526060728,-9.976417855104406,-9.70416728677328,0.0005502676977989293,0.0015823914336704345,0.0022367638310529453,0.2201070791195717,0.6329565734681737,0.894705532421178,True,True,True
