ell,a_over_M,horizon_radius_over_M,peak_radius_over_M,M2_peak_height,M4_tortoise_curvature,fractional_peak_radius_shift,fractional_peak_height_shift,fractional_abs_tortoise_curvature_shift,fractional_sqrt_peak_height_shift
2,0.0,2.0,2.951714828846117,0.24711678166965045,-0.018949201373012994,0.0,0.0,0.0,0.0
2,0.2,2.009975124224178,2.9644911111431567,0.24553935992514975,-0.018789683602858435,0.004328427045926432,-0.006383304823908837,-0.00841817905749532,-0.0031967620557750154
2,0.5,2.0615528128088303,3.030421087723784,0.23763308137531117,-0.017990905758148913,0.026664587685943434,-0.03837740290344686,-0.050571820732712415,-0.019376424362256506
2,1.0,2.23606797749979,3.2519857371471006,0.21366957726748015,-0.015581969592235028,0.10172761452649047,-0.1353497895860551,-0.17769782031940928,-0.07013430517415853
3,0.0,2.0,2.9741534241563716,0.46924342383389106,-0.03538689967073733,0.0,0.0,0.0,0.0
3,0.2,2.009975124224178,2.987167346777958,0.46619512509037053,-0.03508201465436949,0.004375672927928264,-0.006496199176569823,-0.008615759481748623,-0.0032533918676069806
3,0.5,2.0615528128088303,3.054333085560435,0.45092327651186914,-0.033556631929784135,0.026958818180943884,-0.039041884001995354,-0.05172161896021399,-0.019715288297320943
3,1.0,2.23606797749979,3.28015847759362,0.40470588670708024,-0.028970067770774866,0.10288811967528125,-0.1375353043832036,-0.1813335431944825,-0.07131022638515261
4,0.0,2.0,2.9840461837964116,0.7654982260154524,-0.0573246151474591,0.0,0.0,0.0,0.0
4,0.2,2.009975124224178,2.9971672212136022,0.7604894929987177,-0.056826101996373876,0.004397062447772694,-0.006543102056298626,-0.008696319195565034,-0.0032769201309215124
4,0.5,2.0615528128088303,3.064890309359817,0.7354006042486748,-0.05433288367329439,0.027092116067906343,-0.03931768976584147,-0.05218929889836896,-0.019855974749548144
4,1.0,2.23606797749979,3.292641643625805,0.6595229270601001,-0.04684561228215366,0.1034151084876263,-0.13843964016346796,-0.18280110277844436,-0.07179724206586635
