case,a_over_M,overtone,N,omega_real,omega_imag,cf_real_order128_depth320,cf_imag_order128_depth320,cf_residual_abs,absolute_error_from_cf,movement_from_previous_N
scalar_l2_n0_a0,0.0,0,16,0.4836438924274065,-0.09675878999169116,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,2.4598580623456618e-08,
scalar_l2_n0_a0,0.0,0,24,0.48364387218444604,-0.09675877604571895,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,7.236651158577677e-11,2.458185488661172e-08
scalar_l2_n0_a0,0.0,0,32,0.48364387221053917,-0.09675877597793836,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,3.903172032245425e-13,7.262960308475571e-11
scalar_l2_n0_a0,0.0,0,48,0.483643872210601,-0.0967587759783489,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,1.2758962559327712e-13,4.151640970559858e-13
scalar_l2_n0_a0,0.0,0,64,0.48364387220903693,-0.09675877597674665,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,2.2769559698700166e-12,2.2390948456215386e-12
scalar_l2_n0_a0,0.0,0,80,0.4836438722195567,-0.09675877598249254,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,9.79233271855854e-12,1.1986677064592854e-11
scalar_l2_n0_a0,0.0,0,96,0.48364387218947097,-0.09675877596067525,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,2.7593979159496696e-11,3.7163744880753456e-11
scalar_l2_n0_a0,0.0,0,112,0.483643872205803,-0.09675877597462466,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,6.125924916530885e-12,2.147840363591815e-11
scalar_l2_n0_a0,0.0,0,128,0.4836438721584987,-0.09675877602288466,0.48364387221071303,-0.09675877597828782,4.742874840267547e-16,6.866742941821919e-11,6.757755774250891e-11
scalar_l2_n0_a1,1.0,0,16,0.44836242586060293,-0.09424818425109038,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,1.7610836392288187e-08,
scalar_l2_n0_a1,1.0,0,24,0.448362409008405,-0.09424817920890874,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,5.039487209595896e-11,1.7590343097820127e-08
scalar_l2_n0_a1,1.0,0,32,0.4483624090017799,-0.0942481791587782,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,2.902316178628402e-13,5.056641880091774e-11
scalar_l2_n0_a1,1.0,0,48,0.44836240900104274,-0.09424817916188052,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,3.1238409690974273e-12,3.1887082319862554e-12
scalar_l2_n0_a1,1.0,0,64,0.4483624090013222,-0.09424817915922012,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,7.733636131965236e-13,2.6750354977725126e-12
scalar_l2_n0_a1,1.0,0,80,0.4483624089950758,-0.09424817916134919,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,7.370806541138307e-12,6.5992663705732686e-12
scalar_l2_n0_a1,1.0,0,96,0.44836240909457853,-0.09424817915768438,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,9.255258526220297e-11,9.957020607052829e-11
scalar_l2_n0_a1,1.0,0,112,0.44836240897847046,-0.09424817914465067,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,2.7546512083154684e-11,1.1683732724367324e-10
scalar_l2_n0_a1,1.0,0,128,0.4483624090722082,-0.09424817869430951,0.44836240900203417,-0.09424817915891819,3.8956806801599406e-16,4.698782949794427e-10,4.5999338927715466e-10
scalar_l2_n1_a0,0.0,1,16,0.46385479091430576,-0.2956025836838266,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,4.423967416474843e-06,
scalar_l2_n1_a0,0.0,1,24,0.46385063081398814,-0.29560394046787497,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,5.1910993856813956e-08,4.375762517163518e-06
