model,parameter,ell,peak_height,peak_height_shift,r_peak,rstar_width_halfmax,width_shift,curvature_rstar_at_peak,curvature_shift
ks,0.0,0,0.02636718125133227,0.0,2.667196816712465,7.879894691152856,0.0,-0.0027803440825055568,0.0
ks,0.1,0,0.02634249575156561,-0.0009362206574665688,2.668885357793311,7.877187575223132,-0.0003435472218636937,-0.0027783668322697757,-0.0007111530721043424
ks,0.2,0,0.026268821605097258,-0.0037303815412594865,2.678174994292924,7.8953425338683445,0.0019604123304886034,-0.002768041770213392,-0.00442474453776176
ks,0.35,0,0.026069208346370346,-0.011300900999680064,2.6992441777077505,7.886745485124216,0.0008694017166310797,-0.002744403535922892,-0.012926654225572154
ks,0.5,0,0.02576895251720216,-0.02268838403421991,2.7335334378422513,7.898418349918124,0.0023507495329937456,-0.0027063383474401855,-0.026617473546180492
ks,0.75,0,0.025072249491080188,-0.04911149765721179,2.813741168795089,7.920912425733036,0.00520536583137754,-0.0026183647495358693,-0.0582587363876621
ks,1.0,0,0.024179594610809547,-0.08296626854689637,2.9215386476264724,7.960741876569934,0.010259932218110501,-0.00250309448976567,-0.09971772719944738
ks,0.0,1,0.09926156528573052,0.0,2.8853172012279598,9.340569683576703,0.0,-0.008047781848811442,0.0
ks,0.1,1,0.09911200955660446,-0.001506683162768585,2.888610501071218,9.342824457024435,0.00024139570969583524,-0.008030840202863558,-0.002105132354002004
ks,0.2,1,0.0986665950097814,-0.005993964272439811,2.8984637235123825,9.349575869291499,0.0009642009020747189,-0.007980375499655063,-0.008375767437872716
ks,0.35,1,0.09746648138529394,-0.01808438034670634,2.9222621359568715,9.36343007514057,0.002447430118107441,-0.007860234078766595,-0.023304281051373832
ks,0.5,1,0.09568003729108948,-0.036081719891595365,2.9600999642189483,9.396897139833882,0.006030409082672827,-0.007673272581301704,-0.04653571313753346
ks,0.75,1,0.0916190314141554,-0.07699388831493459,3.0512912493808013,9.47522519937526,0.014416199478209268,-0.00724290195979429,-0.10001263753639422
ks,1.0,1,0.0865813384167576,-0.12774558644599354,3.1702950740760434,9.577543688654508,0.025370401710558488,-0.006722627228109632,-0.16466085259226038
ks,0.0,2,0.24711677565927367,0.0,2.951971656787552,9.641844532227168,0.0,-0.018945926528828712,0.0
ks,0.1,2,0.24672016168801567,-0.0016049657907679649,2.955321202167118,9.644259922653916,0.0002505112396984366,-0.01890395155203155,-0.002215514597994961
ks,0.2,2,0.24553931307027468,-0.006383470263362501,2.9637698594699615,9.651491571647597,0.00100053878572548,-0.018798637822895824,-0.007774162203615043
ks,0.35,2,0.24235997637628426,-0.019249196135304514,2.991110266949709,9.684917821333869,0.004467328731834641,-0.01846221862446207,-0.02553097118953862
ks,0.5,2,0.23763303227000468,-0.03837757822781418,3.031183776305131,9.715177474611124,0.007605696414088259,-0.017981723992328655,-0.05089234010450194
ks,0.75,2,0.2269141039009341,-0.08175354224512521,3.1255753438777467,9.801554561434529,0.01656426098487085,-0.016906528730851442,-0.10764307540589568
ks,1.0,2,0.21366957008266071,-0.13534979763061572,3.2516625830873345,9.932485708070601,0.030143731821435926,-0.015585300066901132,-0.17737989518823194
ks,0.0,3,0.4692434201351378,0.0,2.974003675690638,9.747692671080003,0.0,-0.03539035633069003,0.0
ks,0.1,3,0.46847696021899643,-0.0016333951276730208,2.9773717146844465,9.750160386582053,0.00025315893569066716,-0.03531114421660252,-0.0022382400829011884
ks,0.2,3,0.46619511223483445,-0.006496218741704363,2.9874483704692985,9.757548480043127,0.0010110914752539113,-0.03507537292065423,-0.008900261051134173
ks,0.35,3,0.4600524594714767,-0.01958676513996549,3.013354848880292,9.777750480959796,0.003083582022335385,-0.03447777286645211,-0.025786218587647847
ks,0.5,3,0.4509232042696015,-0.03904203038214216,3.0536449844222484,9.813429820503188,0.006743867666059833,-0.033571940207714625,-0.05138168449009084
ks,0.75,3,0.4302365506841343,-0.0831271527254871,3.150187307344509,9.905921345142332,0.016232423343810476,-0.03151276312612926,-0.1095663792793794
ks,1.0,3,0.4047058807971397,-0.1375353101795479,3.280377376816912,10.029700538505132,0.028930730270334104,-0.02896577957829423,-0.18153467267647982
ks,0.0,4,0.7654981462621114,0.0,2.9834962356481243,9.782752690874247,0.0,-0.05734549039075936,0.0
ks,0.1,4,0.7642387470254364,-0.0016452022030681857,2.9868722278524724,9.785241821583497,0.0002544407272579985,-0.05721669246144448,-0.002245999265805154
ks,0.2,4,0.7604894831488532,-0.006543011420361067,2.9969726595690265,9.79269393462495,0.0010162010698662183,-0.05683335557198312,-0.008930690369660987
ks,0.35,4,0.7503972396853292,-0.019726901561446186,3.024539099673525,9.813070268346067,0.0030990845245533194,-0.055802261125911974,-0.026911083231333954
ks,0.5,4,0.7354006036965479,-0.03931759039852456,3.064937926072781,9.862349938271407,0.008136487746583931,-0.054331052454056006,-0.05256625963371486
ks,0.75,4,0.7014287693250987,-0.08369631886094075,3.1617391217358053,9.946884846310333,0.016777706707151507,-0.05098828596873886,-0.11085796596561848
ks,1.0,4,0.6595229006073074,-0.13843958495820763,3.2922746916116195,10.076389026895775,0.030015716976617757,-0.04685698305436681,-0.18290029895851534
hayward,0.0,0,0.026367181251332278,0.0,2.667196816712465,7.879894691152856,0.0,-0.0027803440825055568,0.0
hayward,0.1,0,0.026339233349976683,-0.001059950287791267,2.665194549438275,7.895275496128278,0.0019519048893750224,-0.002765597791709947,-0.005303764698907698
hayward,0.2,0,0.026253744001449444,-0.004302213755863704,2.658740128825909,7.9437273602898415,0.008100700788381543,-0.0027219986838965178,-0.02098495613408391
hayward,0.35,0,0.026005233285204554,-0.013727215005564397,2.6416773521249146,8.088838702752255,0.026516091875439907,-0.002603359807194402,-0.06365552969676413
hayward,0.5,0,0.025579154057377373,-0.029886668068286104,2.617020259008542,8.347991592110034,0.059403953898360395,-0.0024279355708078146,-0.12674996375993974
hayward,0.65,0,0.024911948097353597,-0.05519107788228783,2.592328604014167,8.697813986391097,0.10379825204473336,-0.0022199890823590726,-0.20154160187307113
hayward,0.72,0,0.024492280358530714,-0.07110736923033167,2.583045322877627,8.873844284051529,0.12613742084835589,-0.0021289043248116585,-0.23430184839095225
hayward,0.0,1,0.09926156528573055,0.0,2.8853172012279598,9.340569683576703,0.0,-0.008047781849002266,0.0
hayward,0.1,1,0.09936329767184947,0.001024892019646062,2.883285397684459,9.353517040581849,0.0013861421137846275,-0.008023979017506863,-0.002957688459007457
hayward,0.2,1,0.09967239712501963,0.004138881329409649,2.8721238629592203,9.399449428579146,0.0063036567358381035,-0.007976947170421004,-0.00880176425135637
hayward,0.35,1,0.1005540345179224,0.013020842744836836,2.8426834455984182,9.51923630622754,0.01912802202685593,-0.007824941573758123,-0.0276896515617866
hayward,0.5,1,0.10201957088112801,0.02778523175066172,2.792406082187796,9.772538976947388,0.04624656825056461,-0.007557688617739462,-0.06089792696400742
hayward,0.65,1,0.10424814264215942,0.05023673908500936,2.7165356656376773,10.27150204920234,0.09966548049659885,-0.007092046974442564,-0.11875755239043795
hayward,0.72,1,0.10564344205732684,0.064293533486256,2.6682929475411052,10.710631850827014,0.14667865169500938,-0.006761671787145747,-0.1598092599908093
hayward,0.0,2,0.24711677565927367,0.0,2.951971656787552,9.641844532227168,0.0,-0.01894592652930057,0.0
hayward,0.1,2,0.24744373814437193,0.00132310922326484,2.94836551016816,9.664106245104023,0.0023088645333833036,-0.018909508030717056,-0.0019222337069233486
hayward,0.2,2,0.24843872177552753,0.005349479462602558,2.9355081556409814,9.705406780181164,0.006592332799138623,-0.01881999976889013,-0.006646640385503999
hayward,0.35,2,0.251289697898347,0.01688643851855276,2.9010983631027876,9.826264413032618,0.01912703323404985,-0.01851522859209004,-0.02273300999792449
hayward,0.5,2,0.25607439065200593,0.036248510320007865,2.8411291288556124,10.080665692257355,0.04551215885751514,-0.017958406664132447,-0.05212307055244236
hayward,0.65,2,0.2634762214327463,0.06620127561080325,2.7511559831710586,10.616344540078885,0.10106987356978436,-0.016875946522035376,-0.10925725928810581
hayward,0.72,2,0.26820307112990294,0.08532927566076376,2.692300750754642,11.104059482176865,0.15165303122886398,-0.016048570793194227,-0.15292763495231954
hayward,0.0,3,0.4692434201351378,0.0,2.974003675690638,9.747692671080003,0.0,-0.03539035633069003,0.0
hayward,0.1,3,0.46990242436671037,0.0014043973837347679,2.9703836936450085,9.75166251095915,0.0004072594421165032,-0.035320787403315804,-0.001965759449386928
hayward,0.2,3,0.47190852927888344,0.005679587671102659,2.9574704056599592,9.792912900167948,0.004639070045992177,-0.03514938332457523,-0.006809001973959616
hayward,0.35,3,0.4776645808658922,0.017946252135680796,2.919793406958117,9.922574793954567,0.01794087367910291,-0.034632745977161886,-0.021407254181025404
hayward,0.5,3,0.48735160979922254,0.038590183446514326,2.8580732778340363,10.181098713678978,0.04446242379848808,-0.033589722365295324,-0.05087922677492851
hayward,0.65,3,0.5024127419906967,0.07068681292538193,2.7633009696594724,10.716837034026952,0.09942295019438396,-0.03156328706486372,-0.10813876045965454
hayward,0.72,3,0.5120876102045361,0.09130482864748446,2.70135926270589,11.240129808285445,0.15310670817857108,-0.029982335145882215,-0.15281058868904496
