model,ell,overtone,endpoint_parameter,q10_gain_n64,q50_gain_n64,real_frequency_shift_n64,damping_shift_n64,monotonic_q10_n64,positive_gain_all_tested_n,max_center_spread_endpoint,reliability,universality_support,comment
hayward,0,0,0.72,-1.3415199487993643,-1.3177530964634503,0.02151735155055645,-0.1560273166282098,False,False,4.812871784735466e-06,caution,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,0,1,0.72,-1.3530557286248772,-1.3544878253647035,-0.19548151217980825,-0.08763258293551413,False,False,0.007507378359272169,caution,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,1,0,0.72,-0.9305580247234158,-0.9234294488126107,0.04471845372131633,-0.1304094573228176,False,False,4.6354344706703235e-10,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,1,1,0.72,-1.8531856900533512,-1.8383960663567294,0.03720419385185969,-0.1447735684691407,False,False,1.869307962407596e-06,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,2,0,0.72,-0.7816334174764883,-0.7708000609928689,0.04644141163324944,-0.1254512260225229,False,False,8.616122559243471e-11,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,2,1,0.72,-1.5848800723156256,-1.5674037067354014,0.04862447353796795,-0.13250557798456475,False,False,1.308191353903345e-07,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,3,0,0.72,-0.6988390480559605,-0.6887569034158538,0.04698680068195804,-0.12372368584941862,False,False,5.3820867485339013e-11,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,3,1,0.72,-1.3741924231068072,-1.367600249751316,0.04873110874930231,-0.12758062735004327,False,False,4.1639567439526943e-08,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,4,0,0.72,-0.662892221602366,-0.6686273993651817,0.047230128572811836,-0.1229328116742382,False,False,3.6378221947425766e-11,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
hayward,4,1,0.72,-1.2093914856424348,-1.1666760952200956,0.048430493201114366,-0.12533064636825142,False,False,1.8219876167568194e-08,usable,False,N=64 susceptibility is nonmonotonic; endpoint gain is not positive at every tested N
ks,0,0,1.0,0.30581335964944323,0.2854020780897528,-0.07798344371725774,-0.020059898581109237,True,True,7.877902654631995e-06,caution,False,finite-N trend passes branch checks
ks,0,1,1.0,0.7573035777423769,0.7063909233322541,-0.14013227232729097,0.0003058229093089171,False,True,0.009874966055870092,caution,False,N=64 susceptibility is nonmonotonic
ks,1,0,1.0,0.20292366832666353,0.1995645847522649,-0.07367120192448351,-0.025024559726030127,True,True,1.89716867562617e-10,usable,True,finite-N trend passes branch checks
ks,1,1,1.0,0.45284751610735086,0.4522958871285585,-0.09000623793205009,-0.019636306076241894,True,True,6.462215753690759e-06,usable,True,finite-N trend passes branch checks
ks,2,0,1.0,0.15966192383133482,0.16032795026724322,-0.07294926129543855,-0.025946967519823505,True,True,6.959797367922261e-12,usable,True,finite-N trend passes branch checks
ks,2,1,1.0,0.35073786056236855,0.35036209171416743,-0.07950646288475116,-0.023785112568762812,True,True,8.033365565644134e-08,usable,True,finite-N trend passes branch checks
ks,3,0,1.0,0.139323350536122,0.14797740238574342,-0.07274864512400614,-0.02625350234154067,True,True,3.2208962695032156e-12,usable,True,finite-N trend passes branch checks
ks,3,1,1.0,0.28815878874945433,0.288771902840546,-0.07615472650324273,-0.025136419390676124,True,True,8.004234371763565e-09,usable,True,finite-N trend passes branch checks
ks,4,0,1.0,0.12057979839939392,0.1330326531905417,-0.07266709673051375,-0.026389445376145848,True,True,1.9160460501957464e-12,usable,True,finite-N trend passes branch checks
ks,4,1,1.0,0.24627051127182753,0.2510872135015294,-0.07473849987120773,-0.025711998693670468,True,True,2.589697732162525e-09,usable,True,finite-N trend passes branch checks
