model,parameter,ell,overtone_i,overtone_j,frequency_distance,normalized_frequency_distance,mode_shape_overlap,possible_coalescence
hayward,0.0,0,0,1,0.24025472301958567,0.6786145826447045,0.7336059625235676,False
hayward,0.0,1,0,1,0.21053046033923545,0.5203023777593373,0.699517313798217,False
hayward,0.0,2,0,1,0.1998277700436158,0.3632997877314085,0.6776308607166621,False
hayward,0.0,3,0,1,0.19633583504469904,0.27176827273217546,0.6701381802224767,False
hayward,0.0,4,0,1,0.19483042101541012,0.2155467205873442,0.6668766339500447,False
hayward,0.1,0,0,1,0.23852402762565428,0.6771059899869422,0.7320091615413957,False
hayward,0.1,1,0,1,0.2100852141306313,0.5194479523343846,0.6980381946092161,False
hayward,0.1,2,0,1,0.19947355854157844,0.3625664881116755,0.6762166373924515,False
hayward,0.1,3,0,1,0.19601296949963265,0.2711904178238491,0.668747374206776,False
hayward,0.1,4,0,1,0.19452131410706158,0.21507910688648185,0.6654964572091803,False
hayward,0.2,0,0,1,0.24393797454627877,0.681653012568703,0.7238566443230174,False
hayward,0.2,1,0,1,0.20872306260674833,0.5168586029811332,0.6934247238721096,False
hayward,0.2,2,0,1,0.19838331245780239,0.360326060239857,0.6717997240431737,False
hayward,0.2,3,0,1,0.19501856063304485,0.2694237493197617,0.6644055337148417,False
hayward,0.2,4,0,1,0.193568991279816,0.21364907321365628,0.661188485414482,False
hayward,0.35,0,0,1,0.2358576411536963,0.6775345875717175,0.7098782436384414,False
hayward,0.35,1,0,1,0.20467327274259742,0.5093440674481475,0.6790405512268427,False
hayward,0.35,2,0,1,0.19514907386491653,0.3538239335396396,0.658118649788516,False
hayward,0.35,3,0,1,0.19206458940836138,0.26428743755443945,0.6509794622420385,False
hayward,0.35,4,0,1,0.19073763570954674,0.209487807713606,0.6478762288170844,False
hayward,0.5,0,0,1,0.22651928383435688,0.6758872720966824,0.6764561153469271,False
hayward,0.5,1,0,1,0.19744361462180343,0.4967103798156694,0.6503621540496918,False
hayward,0.5,2,0,1,0.18933626810622792,0.3426490399700904,0.631278466103936,False
hayward,0.5,3,0,1,0.18673251123091542,0.2554039792539947,0.6247773132009932,False
hayward,0.5,4,0,1,0.18561503269114626,0.20227094629796585,0.6219517179346473,False
hayward,0.65,0,0,1,0.21554983543209802,0.6979047919851296,0.571403121609031,False
hayward,0.65,1,0,1,0.18572916167958284,0.4793157456150554,0.5945303723883432,False
hayward,0.65,2,0,1,0.17944089961166151,0.3250512486814079,0.5824009281831081,False
hayward,0.65,3,0,1,0.17748417972626138,0.24102079755268915,0.5779912269498366,False
hayward,0.65,4,0,1,0.17665350322916654,0.19046110299093558,0.576038819132905,False
hayward,0.72,0,0,1,0.22950642131779214,0.7150836720934337,0.6032272093979656,False
hayward,0.72,1,0,1,0.17981724944871932,0.4741311200148446,0.5882798014029658,False
hayward,0.72,2,0,1,0.17294010961961576,0.3145152440903857,0.5826986010306887,False
hayward,0.72,3,0,1,0.17102781224017966,0.23165086468589702,0.5803512053542923,False
hayward,0.72,4,0,1,0.17024247564892261,0.1825404232148924,0.5792743774249433,False
ks,0.0,0,0,1,0.24032903104792686,0.6787007481605146,0.7336264688324815,False
ks,0.0,1,0,1,0.21053048764352914,0.5203023546486234,0.6995171978797117,False
ks,0.0,2,0,1,0.19982776901383828,0.3632997863575229,0.677630861881443,False
ks,0.0,3,0,1,0.19633583484299477,0.27176827254645575,0.6701381798537864,False
ks,0.0,4,0,1,0.1948304209722229,0.21554672050565288,0.6668766342255271,False
ks,0.1,0,0,1,0.247649912725957,0.6815178879146709,0.7248452900780552,False
ks,0.1,1,0,1,0.21050491542020738,0.5205276888500849,0.6997758248211374,False
